id, name, latitude, longitude, address, area, city,cost, rating, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
467,Hearsch Bakery,19.05496667,72.826875,"90/A, Next to Holy Family Hospital,Hill Road, Bandra West, Mumbai","Hill Road, Bandra West", Mumbai,400,4.3,no,no,no,no,no,no
468,Baba Falooda,19.040063,72.8412567,"Shop 2, 52, Bell View Building, L J 2nd Cross Road,Mahim, Mumbai",Mahim, Mumbai,200,4.5,no,no,no,no,no,no
469,Cafe Hydro,19.2210585,72.8621439,"Esspee Tower, Rajendra Nagar, Dattapada Road,Borivali East, Mumbai",Borivali East, Mumbai,1000,4,no,no,no,no,no,no
470,The Korner House,19.07193393,72.82554511,"21, Union Park,KharWest, Khar, Mumbai",Khar, Mumbai,4000,3.8,no,yes,yes,yes,yes,no
471,Zouk,19.11846266,72.85078637,"Hotel Imperial Palace, 45, Teli Gali, Next to Criticare Hospital,Near Andheri East Station, Mumbai",Near Andheri East Station, Mumbai,1200,4.2,no,yes,yes,yes,no,yes
472,The Bombay Cartel,18.9911932,72.8145967,"Level 2, Atria Mall, Dr. Annie Besant Road, Opposite Poonam Chambers,Worli, Mumbai",Worli, Mumbai,1000,3.7,yes,yes,no,yes,yes,no
473,Videsi Desi Bistro,19.25114883,73.14144617,"Vishal Mathura Apartment, Near Pulse Hospital, Kadakpada,Kalyan, Mumbai",Kalyan, Mumbai,1100,3.8,yes,no,no,yes,yes,no
474,The Road House,19.2117523,72.9848668,"Majiwada, Thane WestBoulevard Mall, 201-A, Lodha Complex,","Majiwada, Thane West", Mumbai,1400,3.9,yes,yes,yes,yes,yes,no
475,Woodside Inn,18.92467794,72.83169273,"Wodehouse Road, Opposite Regal Cinema,Colaba, Mumbai",Colaba, Mumbai,2000,4.1,no,no,yes,yes,yes,no
476,Vrindavan,19.12479757,72.83772133,"Bhavan's College Main Gate, Dadabhai Road,Azad Nagar, Mumbai",Azad Nagar, Mumbai,750,3.7,yes,no,no,no,no,no
477,The Chocolate Heaven,19.10423467,72.83665147,"4, Sheetal Smruti Building, 4 Swastik Society, Bhai Das Hall, JVPD Scheme,Vile Parle West, Mumbai",Vile Parle West, Mumbai,600,3.9,yes,yes,no,yes,no,no
478,The Bombay Fries,19.011279,73.012485,"Shreeji Heights, Sector 46 A,Seawoods, Navi Mumbai",Seawoods, Mumbai,250,3.8,yes,no,no,no,no,no
479,Square Pizza,19.11636586,72.88604435,"4, Harmony Apartment, Near Marwa House,Marol, Mumbai Andheri East",Marol, Mumbai,550,3.6,yes,no,no,no,yes,no
480,The VJ Café,19.1045457,72.835889,"Shop 2, Ground Floor, Shree Nataraj Building, Opposite Bhaidas Auditorium,  JVPD Lane,Vile Parle West, Mumbai",Vile Parle West, Mumbai,400,3.8,yes,no,no,yes,no,no
481,Ovenfresh,19.02404759,72.83786617,"Kiran Building, Ranade Road,Dadar Shivaji Park, Mumbai",Dadar Shivaji Park, Mumbai,1200,4.1,no,no,no,no,no,no
482,Bachelorr's,18.95411444,72.81537082,"45,ChowpattySea Face, Netaji Subhash Chandra Bose Marg, Marine Drive, Chowpatty, Mumbai",Chowpatty, Mumbai,600,3.8,yes,no,no,no,no,no
